REF_DATE,GEO,NOC21_5,Title,VALUE
2021,Canada,31100,Specialists in clinical and laboratory medicine,36370
2021,Canada,31101,Specialists in surgery,10770
2021,Canada,31102,General practitioners and family physicians,60895
2021,Canada,31103,Veterinarians,11565
2021,Canada,31110,Dentists,23475
2021,Canada,31111,Optometrists,6765
2021,Canada,31112,Audiologists and speech-language pathologists,12460
2021,Canada,31120,Pharmacists,42710
2021,Canada,31121,Dietitians and nutritionists,11500
2021,Canada,31200,Psychologists,19765
2021,Canada,31201,Chiropractors,9500
2021,Canada,31202,Physiotherapists,27020
2021,Canada,31203,Occupational therapists,17950
2021,Canada,31204,Kinesiologists and other professional occupations in therapy and assessment,10840
2021,Canada,31209,Other professional occupations in health diagnosing and treating,7365
2021,Canada,31300,Nursing coordinators and supervisors,14195
2021,Canada,31301,Registered nurses and registered psychiatric nurses,325750
2021,Canada,31302,Nurse practitioners,6595
2021,Canada,31303,"Physician assistants, midwives and allied health professionals",2970
2021,Canada,32100,Opticians,9775
2021,Canada,32101,Licensed practical nurses,74195
2021,Canada,32102,Paramedical occupations,30630
2021,Canada,32103,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists",13275
2021,Canada,32104,Animal health technologists and veterinary technicians,21290
2021,Canada,32109,Other technical occupations in therapy and assessment,17980
2021,Canada,32110,Denturists,2575
2021,Canada,32111,Dental hygienists and dental therapists,28300
2021,Canada,32112,Dental technologists and technicians,5225
2021,Canada,32120,Medical laboratory technologists,19800
2021,Canada,32121,Medical radiation technologists,19820
2021,Canada,32122,Medical sonographers,6655
2021,Canada,32123,Cardiology technologists and electrophysiological diagnostic technologists,3080
2021,Canada,32124,Pharmacy technicians,26365
2021,Canada,32129,Other medical technologists and technicians,5035
2021,Canada,32200,Traditional Chinese medicine practitioners and acupuncturists,4930
2021,Canada,32201,Massage therapists,40735
2021,Canada,32209,Other practitioners of natural healing,5330
2021,Canada,33100,Dental assistants and dental laboratory assistants,36945
2021,Canada,33101,Medical laboratory assistants and related technical occupations,20195
2021,Canada,33102,"Nurse aides, orderlies and patient service associates",348665
2021,Canada,33103,Pharmacy technical assistants and pharmacy assistants,31075
2021,Canada,33109,Other assisting occupations in support of health services,36340
2021,Canada,40010,Government managers - health and social policy development and program administration,7845
2021,Canada,40011,"Government managers - economic analysis, policy development and program administration",11760
2021,Canada,40012,Government managers - education policy development and program administration,1945
2021,Canada,40019,Other managers in public administration,4855
2021,Canada,40020,Administrators - post-secondary education and vocational training,17470
2021,Canada,40021,School principals and administrators of elementary and secondary education,30785
2021,Canada,40030,"Managers in social, community and correctional services",34545
